#,Player,Lastname,FirstName,Team,Pos,Avg. Pick,Min. Pick,Max. Pick,# Drafts Selected In,Season
1,"Johnson, Chris TEN RB","Johnson,",Chris,TEN,RB,1.81,1,692,5631,2010
2,"Peterson, Adrian MIN RB","Peterson,",Adrian,MIN,RB,2.47,1,130,5652,2010
3,"Jones-Drew, Maurice JAC RB","Jones-Drew,",Maurice,JAC,RB,4.66,1,131,5649,2010
4,"Rice, Ray BAL RB","Rice,",Ray,BAL,RB,4.92,1,133,5633,2010
5,"Gore, Frank SFO RB","Gore,",Frank,SFO,RB,7.42,1,134,5646,2010
6,"Rodgers, Aaron GBP QB","Rodgers,",Aaron,GBP,QB,7.44,1,116,5487,2010
7,"Johnson, Andre HOU WR","Johnson,",Andre,HOU,WR,8.15,1,145,5654,2010
8,"Brees, Drew NOS QB","Brees,",Drew,NOS,QB,8.7,1,117,5476,2010
9,"Turner, Michael ATL RB","Turner,",Michael,ATL,RB,9.69,1,132,5640,2010
10,"Manning, Peyton IND QB","Manning,",Peyton,IND,QB,12.27,1,123,5474,2010
11,"Jackson, Steven STL RB","Jackson,",Steven,STL,RB,12.86,1,145,5647,2010
12,"Moss, Randy TEN WR","Moss,",Randy,TEN,WR,14.44,1,149,5650,2010
13,"Wayne, Reggie IND WR","Wayne,",Reggie,IND,WR,16.83,2,156,5653,2010
14,"Mendenhall, Rashard PIT RB","Mendenhall,",Rashard,PIT,RB,18.31,1,321,5631,2010
15,"Fitzgerald, Larry ARI WR","Fitzgerald,",Larry,ARI,WR,19.07,1,147,5656,2010
16,"Williams, DeAngelo CAR RB","Williams,",DeAngelo,CAR,RB,19.27,2,174,5649,2010
17,"Brady, Tom NEP QB","Brady,",Tom,NEP,QB,20.01,1,131,5484,2010
18,"Johnson, Calvin DET WR","Johnson,",Calvin,DET,WR,20.25,1,148,5654,2010
19,"Mathews, Ryan SDC RB","Mathews,",Ryan,SDC,RB,20.59,1,577,5656,2010
20,"Austin, Miles DAL WR","Austin,",Miles,DAL,WR,21.19,1,302,5648,2010
21,"White, Roddy ATL WR","White,",Roddy,ATL,WR,23.8,3,152,5656,2010
22,"Grant, Ryan GBP RB","Grant,",Ryan,GBP,RB,25.53,1,149,5654,2010
23,"Marshall, Brandon MIA WR","Marshall,",Brandon,MIA,WR,25.55,1,162,5644,2010
24,"Romo, Tony DAL QB","Romo,",Tony,DAL,QB,26.09,1,156,5471,2010
25,"Greene, Shonn NYJ RB","Greene,",Shonn,NYJ,RB,26.29,2,223,5635,2010
26,"Schaub, Matt HOU QB","Schaub,",Matt,HOU,QB,26.71,1,199,5480,2010
27,"Jennings, Greg GBP WR","Jennings,",Greg,GBP,WR,27.97,5,158,5660,2010
28,"Jackson, DeSean PHI WR","Jackson,",DeSean,PHI,WR,28.94,2,219,5646,2010
29,"Benson, Cedric CIN RB","Benson,",Cedric,CIN,RB,31.02,1,229,5633,2010
30,"Colston, Marques NOS WR","Colston,",Marques,NOS,WR,31.36,8,157,5653,2010
31,"Rivers, Philip SDC QB","Rivers,",Philip,SDC,QB,31.95,1,158,5488,2010
32,"Charles, Jamaal KCC RB","Charles,",Jamaal,KCC,RB,33.25,1,205,5627,2010
33,"Thomas, Pierre NOS RB","Thomas,",Pierre,NOS,RB,36.66,4,204,5649,2010
34,"Boldin, Anquan BAL WR","Boldin,",Anquan,BAL,WR,38.22,1,167,5647,2010
